PUZone,month,count
Governor's Island/Ellis Island/Liberty Island,1,4
New Dorp/Midland Beach,1,4
Country Club,1,3
City Island,1,3
Eltingville/Annadale/Prince's Bay,1,3
Westerleigh,1,3
Crotona Park,1,3
Great Kills,1,2
Heartland Village/Todt Hill,1,2
Arden Heights,1,2
Oakwood,1,2
Broad Channel,1,2
Rossville/Woodrow,1,1
Great Kills Park,1,1
East Flushing,2,24
Port Richmond,2,3
Elmhurst,2,2666
Bellerose,2,51
Williamsburg (North Side),2,12411
Mariners Harbor,2,4
Bedford Park,2,103
Gramercy,2,220736
Ocean Parkway South,2,153
Prospect-Lefferts Gardens,2,1204
Central Harlem,2,32306
South Ozone Park,2,436
Flatlands,2,139
Saint Albans,2,19
Clinton West,2,82846
Briarwood/Jamaica Hills,2,519
College Point,2,59
UN/Turtle Bay South,2,114417
Saint George/New Brighton,2,5
Douglaston,2,12
Lenox Hill West,2,205365
Bronx Park,2,21
Bay Ridge,2,307
Schuylerville/Edgewater Park,2,49
Prospect Park,2,335
Whitestone,2,56
Two Bridges/Seward Park,2,19127
Jamaica Estates,2,45
Randalls Island,2,392
Greenwich Village South,2,140211
Ridgewood,2,346
Lenox Hill East,2,151215
Baisley Park,2,1336
Kew Gardens,2,399
Canarsie,2,134
Queens Village,2,65
Far Rockaway,2,13
Greenpoint,2,5607
Brownsville,2,154
East Village,2,291471
Midwood,2,128
Westerleigh,2,10
Green-Wood Cemetery,2,32
Midtown South,2,222349
Prospect Heights,2,3133
Van Nest/Morris Park,2,153
Fordham South,2,57
East Concourse/Concourse Village,2,430
Columbia Street,2,455
Bushwick North,2,1545
Oakwood,2,2
Forest Hills,2,1431
Sunset Park East,2,102
North Corona,2,308
Crotona Park,2,3
Sunnyside,2,16386
Red Hook,2,372
Eltingville/Annadale/Prince's Bay,2,4
East Harlem South,2,57729
Allerton/Pelham Gardens,2,24
Pelham Parkway,2,67
Maspeth,2,350
Bayside,2,47
Starrett City,2,16
DUMBO/Vinegar Hill,2,3747
Alphabet City,2,26403
Hillcrest/Pomonok,2,63
Auburndale,2,28
Bath Beach,2,51
Hollis,2,17
Hammels/Arverne,2,9
Grymes Hill/Clifton,2,3
Upper West Side South,2,229832
Murray Hill,2,292041
Arrochar/Fort Wadsworth,2,31
Belmont,2,63
Washington Heights South,2,9501
Marine Park/Floyd Bennett Field,2,34
Freshkills Park,2,1
Heartland Village/Todt Hill,2,6
Woodside,2,5862
Richmond Hill,2,282
Soundview/Castle Hill,2,91
Woodhaven,2,101
Flushing,2,342
Corona,2,299
Queensboro Hill,2,69
Financial District North,2,68644
Cobble Hill,2,5466
Gravesend,2,110
West Farms/Bronx River,2,58
Longwood,2,89
Jamaica Bay,2,6
Steinway,2,5642
