src,dst,count,month,avg_fare
Washington Heights South,Kensington,1,1,68.21
West Chelsea/Hudson Yards,Erasmus,11,1,41.88636363636364
West Chelsea/Hudson Yards,South Williamsburg,14,1,29.74285714285714
West Concourse,Woodhaven,2,1,64.17500000000001
West Village,Green-Wood Cemetery,1,1,22.3
Woodside,Williamsburg (North Side),15,1,19.704
Alphabet City,Lincoln Square West,68,1,25.15088235294118
Astoria,Kips Bay,146,1,21.900958904109594
Astoria Park,Astoria Park,3,1,10.633333333333335
Astoria Park,Newark Airport,1,1,153.84
Auburndale,Corona,1,1,14.8
Baisley Park,Flushing,3,1,25.96666666666667
Baisley Park,West Chelsea/Hudson Yards,13,1,65.22923076923077
Bay Ridge,Clinton Hill,1,1,40.3
Bay Ridge,Dyker Heights,20,1,8.997499999999999
Bedford,Bensonhurst West,1,1,40.56
Bedford,Coney Island,2,1,89.30000000000001
Bensonhurst East,Battery Park City,1,1,49.84
Bensonhurst East,Greenwich Village South,1,1,32.8
Boerum Hill,Clinton East,29,1,27.821379310344824
Boerum Hill,Erasmus,34,1,18.475588235294115
Bronx Park,Pelham Parkway,1,1,9.35
Brownsville,Upper West Side South,1,1,53.13
Bushwick North,Ocean Hill,10,1,12.802000000000001
Cambria Heights,Midtown South,1,1,61.3
Carroll Gardens,Meatpacking/West Village West,24,1,26.06416666666667
Central Harlem,Bronxdale,8,1,29.9825
Central Harlem,West Concourse,86,1,13.403953488372093
Central Park,Kew Gardens,13,1,43.639230769230764
Clinton East,Cypress Hills,13,1,50.167692307692306
Clinton East,East Harlem South,1761,1,17.934412265758144
Clinton West,Lenox Hill East,522,1,17.07787356321838
Crown Heights North,Upper East Side North,1,1,40.02
East Chelsea,Cypress Hills,14,1,52.791428571428575
East Elmhurst,Bay Ridge,3,1,54.46666666666666
East Harlem North,East New York/Pennsylvania Avenue,1,1,60.19
East Harlem North,East Village,194,1,24.95974226804123
East Harlem North,Lenox Hill West,786,1,12.412493638676825
East Harlem North,Little Italy/NoLiTa,32,1,27.47625
East Harlem North,Marble Hill,5,1,22.972
East Harlem South,TriBeCa/Civic Center,153,1,32.12496732026143
East Village,Bayside,28,1,55.482142857142854
East Village,Sunset Park West,269,1,30.612676579925637
East Williamsburg,Midtown South,9,1,23.70111111111111
Elmhurst,South Jamaica,4,1,24.8
Elmhurst/Maspeth,Gramercy,1,1,36.41
Elmhurst/Maspeth,Woodhaven,10,1,22.03
Flatiron,East Concourse/Concourse Village,26,1,35.295
Fort Greene,Parkchester,1,1,62.21
Fort Greene,Sunset Park West,64,1,18.889843750000004
Garment District,East Chelsea,4930,1,9.198868154158282
Garment District,Flushing,68,1,47.08955882352942
Garment District,Whitestone,12,1,53.9275
Gramercy,Bensonhurst West,18,1,48.25055555555555
Greenwich Village North,Steinway,118,1,34.91618644067796
Hamilton Heights,Hudson Sq,13,1,31.897692307692314
Highbridge Park,Van Cortlandt Village,2,1,18.8
Hollis,Hollis,5,1,66.24000000000001
Hunts Point,Inwood,1,1,25.3
JFK Airport,Bushwick North,1242,1,42.806481481481505
JFK Airport,Roosevelt Island,364,1,58.93978021978025
JFK Airport,University Heights/Morris Heights,156,1,66.77839743589743
Jackson Heights,Flatiron,4,1,33.445
Jackson Heights,Greenpoint,13,1,18.950769230769232
Jackson Heights,JFK Airport,39,1,45.706666666666656
Jamaica Bay,Washington Heights South,1,1,61.34
Kew Gardens Hills,Cambria Heights,1,1,35.3
Lenox Hill East,Flushing,21,1,43.62380952380953
Lenox Hill East,Saint Albans,1,1,72.8
Little Italy/NoLiTa,East Concourse/Concourse Village,10,1,37.267
Little Italy/NoLiTa,Murray Hill,3419,1,14.354931266452239
Long Island City/Hunters Point,Fresh Meadows,1,1,36.95
Long Island City/Hunters Point,Stuyvesant Heights,21,1,22.140476190476193
Madison,NV,2,1,92.55000000000001
Manhattan Valley,Country Club,1,1,36.3
Manhattanville,Madison,1,1,60.96
Maspeth,Stuyvesant Heights,3,1,13.086666666666668
Middle Village,Ocean Hill,1,1,49.3
Midtown Center,East Williamsburg,224,1,29.196026785714285
Midtown Center,Elmhurst,163,1,27.127300613496928
Midtown East,Jamaica Estates,31,1,49.99903225806452
Midtown East,Lenox Hill East,9726,1,11.285231338679692
Midtown North,Jamaica Estates,20,1,50.739
Midtown North,South Williamsburg,31,1,30.671612903225807
Midtown South,East Harlem South,1187,1,18.70192923336144
Midtown South,Far Rockaway,2,1,73.625
Midtown South,Great Kills,1,1,78.88
Midtown South,Jamaica,24,1,50.655
Midtown South,South Ozone Park,32,1,58.85781250000001
Morningside Heights,Greenwich Village South,81,1,31.59111111111111
Morrisania/Melrose,Washington Heights South,3,1,13.633333333333335
NV,South Beach/Dongan Hills,2,1,79.975
NV,Whitestone,6,1,56.375
Ocean Parkway South,Downtown Brooklyn/MetroTech,1,1,29.1
Ozone Park,Ozone Park,11,1,16.008181818181818
Penn Station/Madison Sq West,Boerum Hill,391,1,27.986189258312006
Penn Station/Madison Sq West,Clinton East,13669,1,9.518462945350567
Penn Station/Madison Sq West,Cobble Hill,212,1,28.920377358490562
Prospect Heights,World Trade Center,2,1,23.155
Randalls Island,Manhattanville,3,1,50.796666666666674
Saint Michaels Cemetery/Woodside,Midtown Center,1,1,5.84
Seaport,Hamilton Heights,21,1,38.62285714285714
Seaport,Highbridge,2,1,46.3
Seaport,Manhattan Valley,30,1,32.102
SoHo,Morningside Heights,101,1,31.208910891089108
Soundview/Castle Hill,Lenox Hill West,1,1,6.62
South Jamaica,West Village,13,1,65.8323076923077
South Ozone Park,East Chelsea,1,1,60.7
South Williamsburg,East New York,2,1,56.199999999999996
Stuy Town/Peter Cooper Village,Prospect-Lefferts Gardens,18,1,34.763888888888886
Stuyvesant Heights,Lenox Hill East,1,1,31.3
Sunnyside,Flushing Meadows-Corona Park,18,1,24.297222222222224
Sunset Park West,East Flatbush/Farragut,1,1,30.3
Sutton Place/Turtle Bay North,Clinton West,979,1,13.718743615934615
Sutton Place/Turtle Bay North,Gravesend,10,1,50.708
Sutton Place/Turtle Bay North,Two Bridges/Seward Park,513,1,17.559044834307976
Times Sq/Theatre District,Oakwood,4,1,87.92
University Heights/Morris Heights,Longwood,1,1,15.3
Upper East Side North,Chinatown,181,1,30.42795580110496
Upper East Side North,Murray Hill,4537,1,16.326409521710335
Upper East Side South,Alphabet City,383,1,20.419582245430796
Upper East Side South,Mott Haven/Port Morris,102,1,19.94049019607844
Upper East Side South,Upper West Side North,8351,1,13.290920847802512
Upper West Side North,Kingsbridge Heights,20,1,27.7195
Upper West Side North,Rosedale,2,1,80.515
