PUHour,PUZone,month,count
afternoon,Van Cortlandt Village,1,9
midnight,Pelham Bay,1,9
midnight,Bay Terrace/Fort Totten,1,8
morning,Co-Op City,1,8
morning,Arrochar/Fort Wadsworth,1,8
evening,Cambria Heights,1,8
afternoon,Bath Beach,1,8
afternoon,Saint Albans,1,8
evening,Madison,1,8
morning,Murray Hill-Queens,1,7
afternoon,Arrochar/Fort Wadsworth,1,7
midnight,Auburndale,1,7
afternoon,Oakland Gardens,1,7
midnight,Marine Park/Floyd Bennett Field,1,7
evening,Saint Albans,1,7
morning,Auburndale,1,7
afternoon,Auburndale,1,7
midnight,Manhattan Beach,1,7
morning,Forest Park/Highland Park,1,7
afternoon,Highbridge Park,1,7
afternoon,Woodlawn/Wakefield,1,6
morning,Schuylerville/Edgewater Park,1,6
evening,East Flushing,1,6
morning,Dyker Heights,1,6
morning,Allerton/Pelham Gardens,1,6
afternoon,Marine Park/Floyd Bennett Field,1,6
midnight,Hollis,1,6
morning,Hammels/Arverne,1,6
afternoon,Bronxdale,1,6
afternoon,Belmont,1,6
morning,East Flushing,1,6
morning,Glen Oaks,1,6
midnight,Douglaston,1,6
evening,Starrett City,1,6
morning,Marine Park/Mill Basin,1,6
afternoon,Green-Wood Cemetery,1,6
afternoon,Manhattan Beach,1,5
evening,Springfield Gardens North,1,5
evening,Eastchester,1,5
afternoon,Pelham Parkway,1,5
evening,Rockaway Park,1,5
morning,Bronxdale,1,5
evening,Hammels/Arverne,1,5
afternoon,West Farms/Bronx River,1,5
evening,Bronxdale,1,5
afternoon,Bay Terrace/Fort Totten,1,5
morning,Eastchester,1,5
midnight,Bronx Park,1,5
evening,Forest Park/Highland Park,1,5
evening,Arrochar/Fort Wadsworth,1,5
morning,Starrett City,1,5
morning,Bellerose,1,5
evening,Bay Terrace/Fort Totten,1,5
morning,Douglaston,1,5
morning,Hollis,1,5
afternoon,Cambria Heights,1,5
midnight,Rosedale,1,5
morning,Cambria Heights,1,4
evening,Green-Wood Cemetery,1,4
afternoon,Williamsbridge/Olinville,1,4
evening,Saint George/New Brighton,1,4
evening,Pelham Bay,1,4
evening,Bloomfield/Emerson Hill,1,4
midnight,Allerton/Pelham Gardens,1,4
evening,Auburndale,1,4
afternoon,Fordham South,1,4
evening,Marine Park/Floyd Bennett Field,1,4
afternoon,Starrett City,1,4
morning,Highbridge Park,1,4
midnight,Whitestone,1,4
morning,Far Rockaway,1,4
afternoon,Van Cortlandt Park,1,4
afternoon,Willets Point,1,4
afternoon,Far Rockaway,1,4
evening,Bronx Park,1,4
morning,Marine Park/Floyd Bennett Field,1,4
midnight,Inwood Hill Park,1,4
midnight,Mariners Harbor,1,4
midnight,Forest Park/Highland Park,1,4
midnight,Far Rockaway,1,4
morning,Green-Wood Cemetery,1,3
afternoon,Laurelton,1,3
evening,Mariners Harbor,1,3
midnight,Crotona Park,1,3
midnight,South Beach/Dongan Hills,1,3
evening,Hollis,1,3
morning,Bronx Park,1,3
midnight,Hammels/Arverne,1,3
afternoon,Jamaica Bay,1,3
evening,Oakland Gardens,1,3
midnight,Green-Wood Cemetery,1,3
evening,Glen Oaks,1,3
morning,Rosedale,1,3
evening,Port Richmond,1,3
midnight,Starrett City,1,3
morning,Bay Terrace/Fort Totten,1,3
evening,Far Rockaway,1,3
afternoon,Bloomfield/Emerson Hill,1,3
morning,Van Cortlandt Park,1,3
afternoon,Hollis,1,2
midnight,Port Richmond,1,2
midnight,Bloomfield/Emerson Hill,1,2
midnight,New Dorp/Midland Beach,1,2
afternoon,Governor's Island/Ellis Island/Liberty Island,1,2
morning,Jamaica Bay,1,2
midnight,City Island,1,2
afternoon,Pelham Bay Park,1,2
afternoon,Hammels/Arverne,1,2
morning,Saint George/New Brighton,1,2
evening,South Beach/Dongan Hills,1,2
evening,Laurelton,1,2
afternoon,Eastchester,1,2
evening,Arden Heights,1,2
evening,Pelham Bay Park,1,2
morning,Willets Point,1,2
morning,Laurelton,1,2
evening,Jamaica Bay,1,2
midnight,Great Kills,1,2
morning,Eltingville/Annadale/Prince's Bay,1,2
midnight,Westerleigh,1,2
morning,Country Club,1,1
morning,New Dorp/Midland Beach,1,1
midnight,Country Club,1,1
afternoon,Broad Channel,1,1
morning,Pelham Bay,1,1
midnight,Oakwood,1,1
evening,Country Club,1,1
morning,Bloomfield/Emerson Hill,1,1
evening,Eltingville/Annadale/Prince's Bay,1,1
evening,Oakwood,1,1
afternoon,Mariners Harbor,1,1
evening,Governor's Island/Ellis Island/Liberty Island,1,1
afternoon,Pelham Bay,1,1
afternoon,Westerleigh,1,1
midnight,Heartland Village/Todt Hill,1,1
morning,Rockaway Park,1,1
midnight,Rockaway Park,1,1
evening,City Island,1,1
midnight,Cambria Heights,1,1
evening,New Dorp/Midland Beach,1,1
evening,Great Kills Park,1,1
evening,Broad Channel,1,1
midnight,Grymes Hill/Clifton,1,1
midnight,Stapleton,1,1
morning,Governor's Island/Ellis Island/Liberty Island,1,1
afternoon,Rossville/Woodrow,1,1
morning,Pelham Bay Park,1,1
morning,Oakland Gardens,1,1
morning,Heartland Village/Todt Hill,1,1
midnight,Saint George/New Brighton,1,1
afternoon,Rockaway Park,1,1
morning,Mariners Harbor,1,1
afternoon,Upper East Side South,2,138233
evening,Midtown Center,2,133090
afternoon,Upper East Side North,2,129832
afternoon,Midtown Center,2,128599
evening,Times Sq/Theatre District,2,128182
evening,Union Sq,2,123439
evening,Midtown East,2,117503
evening,East Village,2,110672
evening,Penn Station/Madison Sq West,2,105727
morning,Upper East Side North,2,103021
afternoon,Union Sq,2,102271
afternoon,Midtown East,2,100671
evening,Lincoln Square East,2,100572
morning,Penn Station/Madison Sq West,2,100397
evening,Clinton East,2,99691
evening,Upper East Side South,2,99636
evening,Murray Hill,2,97043
afternoon,Penn Station/Madison Sq West,2,94245
morning,Upper East Side South,2,93668
evening,Midtown North,2,90059
afternoon,Murray Hill,2,89584
afternoon,Upper West Side South,2,86713
afternoon,Times Sq/Theatre District,2,86472
afternoon,Lincoln Square East,2,85488
midnight,East Village,2,84297
afternoon,Midtown North,2,84118
evening,West Village,2,82596
morning,Murray Hill,2,82267
evening,Upper East Side North,2,80084
evening,Gramercy,2,80000
evening,Midtown South,2,79240
evening,East Chelsea,2,75362
evening,LaGuardia Airport,2,74665
morning,Clinton East,2,73956
morning,Midtown East,2,70864
evening,JFK Airport,2,69481
evening,Upper West Side South,2,69417
afternoon,LaGuardia Airport,2,69156
afternoon,JFK Airport,2,66986
afternoon,Midtown South,2,66879
morning,Midtown Center,2,65324
afternoon,Lenox Hill West,2,64191
afternoon,Clinton East,2,63965
evening,TriBeCa/Civic Center,2,63938
morning,Lenox Hill West,2,63640
afternoon,Upper West Side North,2,62815
afternoon,East Chelsea,2,62690
evening,Flatiron,2,62356
evening,Lenox Hill West,2,61513
morning,Upper West Side South,2,60947
evening,Sutton Place/Turtle Bay North,2,60694
midnight,Lower East Side,2,60068
evening,Greenwich Village North,2,59915
evening,Garment District,2,58568
morning,Times Sq/Theatre District,2,58265
morning,Lincoln Square East,2,57723
afternoon,Gramercy,2,57666
evening,Greenwich Village South,2,57294
morning,Gramercy,2,56846
morning,Union Sq,2,56491
morning,Upper West Side North,2,55503
morning,Garment District,2,55488
afternoon,Garment District,2,54617
afternoon,Flatiron,2,54537
afternoon,TriBeCa/Civic Center,2,52687
afternoon,West Chelsea/Hudson Yards,2,52455
morning,Lenox Hill East,2,52378
afternoon,Lenox Hill East,2,52085
afternoon,East Village,2,51801
afternoon,Central Park,2,51785
evening,Lower East Side,2,51750
evening,NV,2,51126
morning,Sutton Place/Turtle Bay North,2,48473
afternoon,Greenwich Village North,2,48088
evening,Yorkville West,2,47836
afternoon,Yorkville West,2,47819
afternoon,NV,2,47644
morning,East Chelsea,2,47364
morning,Midtown North,2,47019
morning,Yorkville West,2,46847
evening,Upper West Side North,2,46380
evening,Little Italy/NoLiTa,2,46003
midnight,Clinton East,2,45932
afternoon,Sutton Place/Turtle Bay North,2,45840
afternoon,West Village,2,45721
morning,Midtown South,2,44967
morning,Yorkville East,2,44842
morning,LaGuardia Airport,2,44818
morning,East Village,2,44701
midnight,West Village,2,43262
morning,Flatiron,2,41245
morning,TriBeCa/Civic Center,2,40490
evening,West Chelsea/Hudson Yards,2,40023
evening,UN/Turtle Bay South,2,39692
evening,Lenox Hill East,2,39651
midnight,Times Sq/Theatre District,2,39356
evening,Meatpacking/West Village West,2,37792
evening,Kips Bay,2,37757
morning,West Village,2,37278
morning,Greenwich Village North,2,37209
midnight,Greenwich Village South,2,35194
morning,NV,2,34736
afternoon,Lincoln Square West,2,34719
afternoon,Yorkville East,2,34695
afternoon,UN/Turtle Bay South,2,34524
morning,JFK Airport,2,33740
morning,Kips Bay,2,33712
morning,Lincoln Square West,2,33379
midnight,East Chelsea,2,33350
morning,UN/Turtle Bay South,2,32780
midnight,Union Sq,2,32174
afternoon,Kips Bay,2,32025
evening,SoHo,2,31561
midnight,Midtown South,2,31263
afternoon,Greenwich Village South,2,30721
morning,West Chelsea/Hudson Yards,2,29535
afternoon,Little Italy/NoLiTa,2,28725
morning,Central Park,2,28396
evening,Central Park,2,28216
afternoon,Battery Park City,2,28190
afternoon,SoHo,2,28109
afternoon,Manhattan Valley,2,27817
afternoon,Meatpacking/West Village West,2,27470
morning,Battery Park City,2,27419
midnight,Gramercy,2,26224
morning,Manhattan Valley,2,25977
midnight,Meatpacking/West Village West,2,25262
evening,Lincoln Square West,2,25134
evening,Financial District North,2,25101
afternoon,Clinton West,2,25056
morning,Clinton West,2,24082
midnight,Penn Station/Madison Sq West,2,23780
evening,Battery Park City,2,23730
midnight,Little Italy/NoLiTa,2,23515
midnight,Murray Hill,2,23147
evening,Clinton West,2,23120
evening,Yorkville East,2,22856
evening,Hudson Sq,2,21541
morning,Meatpacking/West Village West,2,20970
afternoon,Financial District North,2,20876
midnight,Midtown Center,2,20796
midnight,Flatiron,2,20486
evening,Manhattan Valley,2,20476
midnight,Midtown North,2,20440
afternoon,Lower East Side,2,20313
midnight,Midtown East,2,19978
afternoon,World Trade Center,2,19956
morning,East Harlem South,2,19800
midnight,TriBeCa/Civic Center,2,19794
afternoon,East Harlem South,2,18697
afternoon,Hudson Sq,2,18520
midnight,Garment District,2,18408
midnight,NV,2,18371
afternoon,Morningside Heights,2,17345
morning,Greenwich Village South,2,17002
morning,Financial District North,2,16426
midnight,West Chelsea/Hudson Yards,2,16385
midnight,Lenox Hill West,2,16021
midnight,JFK Airport,2,15863
evening,Morningside Heights,2,15585
midnight,Sutton Place/Turtle Bay North,2,15548
midnight,Yorkville West,2,15114
evening,World Trade Center,2,15080
midnight,Greenwich Village North,2,14897
midnight,Lincoln Square East,2,13918
morning,Lower East Side,2,13846
evening,Financial District South,2,13843
evening,East Harlem South,2,13843
morning,Little Italy/NoLiTa,2,13146
morning,Morningside Heights,2,13099
midnight,Upper West Side South,2,12755
morning,SoHo,2,12657
afternoon,Financial District South,2,11749
morning,Hudson Sq,2,11635
morning,Stuy Town/Peter Cooper Village,2,11473
midnight,Kips Bay,2,11411
midnight,Upper East Side South,2,11219
midnight,Clinton West,2,10588
morning,World Trade Center,2,10369
morning,East Harlem North,2,9781
midnight,Upper West Side North,2,9587
evening,Central Harlem,2,9566
morning,Central Harlem,2,9509
midnight,SoHo,2,9426
afternoon,Central Harlem,2,9108
morning,Bloomingdale,2,8788
afternoon,East Harlem North,2,8738
midnight,Hudson Sq,2,8736
midnight,Upper East Side North,2,8600
evening,East Harlem North,2,8583
afternoon,Bloomingdale,2,8369
evening,Alphabet City,2,7974
midnight,Alphabet City,2,7758
evening,Chinatown,2,7441
midnight,UN/Turtle Bay South,2,7421
evening,Bloomingdale,2,7340
midnight,Lenox Hill East,2,7101
afternoon,Stuy Town/Peter Cooper Village,2,6998
evening,Seaport,2,6909
afternoon,Chinatown,2,6805
evening,Two Bridges/Seward Park,2,6600
morning,Alphabet City,2,6357
morning,Financial District South,2,6339
midnight,Financial District North,2,6241
morning,Sunnyside,2,6183
evening,Stuy Town/Peter Cooper Village,2,6166
midnight,Two Bridges/Seward Park,2,5577
midnight,Williamsburg (North Side),2,5391
midnight,East Harlem South,2,5389
midnight,LaGuardia Airport,2,5291
midnight,Williamsburg (South Side),2,5287
evening,Park Slope,2,5069
midnight,Astoria,2,5065
morning,Central Harlem North,2,4945
morning,Astoria,2,4939
afternoon,Seaport,2,4899
evening,Williamsburg (North Side),2,4830
midnight,Morningside Heights,2,4649
midnight,East Harlem North,2,4469
midnight,Manhattan Valley,2,4419
evening,Fort Greene,2,4318
afternoon,Alphabet City,2,4314
evening,Downtown Brooklyn/MetroTech,2,4296
midnight,Yorkville East,2,4195
evening,Williamsburg (South Side),2,4142
midnight,Central Harlem,2,4123
evening,Central Harlem North,2,4019
afternoon,Two Bridges/Seward Park,2,3910
midnight,Lincoln Square West,2,3754
morning,Chinatown,2,3712
evening,Boerum Hill,2,3706
afternoon,Sunnyside,2,3698
morning,Brooklyn Heights,2,3696
morning,Hamilton Heights,2,3656
afternoon,Central Harlem North,2,3617
evening,Astoria,2,3506
midnight,Financial District South,2,3500
morning,Seaport,2,3453
midnight,Sunnyside,2,3451
evening,Long Island City/Hunters Point,2,3433
morning,Downtown Brooklyn/MetroTech,2,3423
midnight,Central Park,2,3383
morning,Washington Heights South,2,3341
evening,Hamilton Heights,2,3331
midnight,Chinatown,2,3283
midnight,World Trade Center,2,3150
afternoon,Astoria,2,3133
afternoon,Downtown Brooklyn/MetroTech,2,3092
evening,Sunnyside,2,3054
morning,Two Bridges/Seward Park,2,3040
afternoon,Long Island City/Hunters Point,2,2977
evening,Manhattanville,2,2931
evening,Brooklyn Heights,2,2916
midnight,Battery Park City,2,2902
midnight,East Williamsburg,2,2869
midnight,Bloomingdale,2,2863
afternoon,Manhattanville,2,2764
morning,Cobble Hill,2,2750
midnight,Park Slope,2,2747
morning,Long Island City/Queens Plaza,2,2709
midnight,Stuy Town/Peter Cooper Village,2,2692
morning,Manhattanville,2,2676
evening,Washington Heights South,2,2541
evening,Long Island City/Queens Plaza,2,2529
afternoon,Hamilton Heights,2,2499
afternoon,Long Island City/Queens Plaza,2,2492
morning,Carroll Gardens,2,2440
midnight,Central Harlem North,2,2358
morning,Steinway,2,2353
morning,Woodside,2,2351
afternoon,Washington Heights South,2,2255
morning,Old Astoria,2,2255
evening,Greenpoint,2,2223
morning,Long Island City/Hunters Point,2,2212
midnight,Long Island City/Queens Plaza,2,2196
midnight,Hamilton Heights,2,2178
morning,Boerum Hill,2,2142
midnight,Long Island City/Hunters Point,2,2107
afternoon,Boerum Hill,2,2100
midnight,Fort Greene,2,2096
midnight,Greenpoint,2,2077
midnight,Boerum Hill,2,2027
midnight,Seaport,2,2019
afternoon,Brooklyn Heights,2,2009
evening,East Williamsburg,2,1954
morning,Queensbridge/Ravenswood,2,1906
midnight,Bushwick South,2,1863
midnight,Jackson Heights,2,1840
afternoon,Battery Park,2,1745
morning,Park Slope,2,1723
midnight,Downtown Brooklyn/MetroTech,2,1681
morning,Jackson Heights,2,1674
evening,Clinton Hill,2,1607
midnight,Woodside,2,1599
afternoon,Park Slope,2,1577
afternoon,Fort Greene,2,1499
evening,Carroll Gardens,2,1489
evening,Prospect Heights,2,1471
afternoon,Williamsburg (North Side),2,1459
evening,DUMBO/Vinegar Hill,2,1434
morning,Fort Greene,2,1399
midnight,Washington Heights South,2,1364
evening,NA,2,1360
midnight,Manhattanville,2,1335
afternoon,Old Astoria,2,1324
evening,Cobble Hill,2,1291
afternoon,Queensbridge/Ravenswood,2,1263
midnight,Clinton Hill,2,1222
midnight,Old Astoria,2,1205
midnight,NA,2,1171
evening,Bedford,2,1169
evening,Old Astoria,2,1158
midnight,Bedford,2,1158
afternoon,Steinway,2,1128
afternoon,Williamsburg (South Side),2,1124
midnight,Steinway,2,1086
midnight,Bushwick North,2,1075
evening,Steinway,2,1075
afternoon,Woodside,2,1046
afternoon,Jackson Heights,2,1032
morning,DUMBO/Vinegar Hill,2,1029
midnight,Elmhurst,2,1026
afternoon,DUMBO/Vinegar Hill,2,980
midnight,Prospect Heights,2,951
afternoon,Cobble Hill,2,931
midnight,Brooklyn Heights,2,916
midnight,Crown Heights North,2,913
evening,Jackson Heights,2,907
evening,Bushwick South,2,872
evening,Woodside,2,866
morning,Elmhurst,2,840
afternoon,Carroll Gardens,2,829
morning,NA,2,800
afternoon,NA,2,799
afternoon,Greenpoint,2,775
evening,Crown Heights North,2,762
evening,Washington Heights North,2,761
midnight,Queensbridge/Ravenswood,2,738
midnight,Carroll Gardens,2,736
morning,Williamsburg (South Side),2,732
morning,Williamsburg (North Side),2,731
evening,Queensbridge/Ravenswood,2,673
evening,Gowanus,2,656
afternoon,Baisley Park,2,642
morning,Forest Hills,2,586
midnight,Stuyvesant Heights,2,570
morning,West Concourse,2,555
midnight,Gowanus,2,547
afternoon,Mott Haven/Port Morris,2,537
afternoon,Clinton Hill,2,532
morning,Greenpoint,2,532
morning,Battery Park,2,516
morning,Clinton Hill,2,509
midnight,Cobble Hill,2,494
midnight,Mott Haven/Port Morris,2,481
afternoon,East Williamsburg,2,463
midnight,Washington Heights North,2,459
evening,Battery Park,2,438
morning,Washington Heights North,2,438
afternoon,Flushing Meadows-Corona Park,2,433
afternoon,West Concourse,2,424
evening,South Williamsburg,2,416
afternoon,Elmhurst,2,409
midnight,Elmhurst/Maspeth,2,407
afternoon,Washington Heights North,2,406
evening,West Concourse,2,398
morning,Mott Haven/Port Morris,2,393
evening,Elmhurst,2,391
midnight,South Williamsburg,2,388
evening,Inwood,2,387
evening,Mott Haven/Port Morris,2,380
afternoon,East Elmhurst,2,374
midnight,Forest Hills,2,371
midnight,Prospect-Lefferts Gardens,2,371
afternoon,Prospect Heights,2,359
morning,Prospect Heights,2,352
morning,Elmhurst/Maspeth,2,346
evening,Prospect-Lefferts Gardens,2,343
evening,Baisley Park,2,342
evening,Stuyvesant Heights,2,339
morning,East Elmhurst,2,336
morning,Saint Michaels Cemetery/Woodside,2,328
evening,Bushwick North,2,320
morning,Crown Heights North,2,312
midnight,DUMBO/Vinegar Hill,2,304
afternoon,Bedford,2,302
midnight,Flatbush/Ditmas Park,2,300
afternoon,Newark Airport,2,298
morning,Prospect-Lefferts Gardens,2,297
morning,Bedford,2,295
afternoon,Crown Heights North,2,292
midnight,Sunset Park West,2,290
afternoon,Gowanus,2,290
morning,East Williamsburg,2,289
afternoon,Jamaica,2,284
midnight,West Concourse,2,280
morning,Sunset Park West,2,279
morning,Baisley Park,2,276
afternoon,South Jamaica,2,275
midnight,Inwood,2,274
afternoon,Forest Hills,2,259
morning,Cypress Hills,2,250
morning,Rego Park,2,246
evening,East Elmhurst,2,244
evening,Sunset Park West,2,243
evening,Flushing Meadows-Corona Park,2,234
afternoon,Elmhurst/Maspeth,2,230
morning,Gowanus,2,227
morning,Flatbush/Ditmas Park,2,217
evening,Forest Hills,2,215
morning,Flushing Meadows-Corona Park,2,212
evening,Flatbush/Ditmas Park,2,208
afternoon,Prospect-Lefferts Gardens,2,193
morning,Inwood,2,193
midnight,Ridgewood,2,190
evening,Elmhurst/Maspeth,2,187
afternoon,Briarwood/Jamaica Hills,2,183
afternoon,South Ozone Park,2,183
afternoon,Randalls Island,2,181
morning,Columbia Street,2,171
afternoon,Bushwick South,2,170
afternoon,Inwood,2,170
morning,Bushwick South,2,169
midnight,Rego Park,2,169
evening,Roosevelt Island,2,164
morning,Kensington,2,163
afternoon,Saint Michaels Cemetery/Woodside,2,161
afternoon,Springfield Gardens South,2,158
midnight,East Elmhurst,2,155
afternoon,Kew Gardens,2,155
morning,Newark Airport,2,152
midnight,Melrose South,2,148
evening,Rego Park,2,147
morning,Briarwood/Jamaica Hills,2,146
midnight,North Corona,2,146
evening,Columbia Street,2,141
evening,Kensington,2,141
evening,Crown Heights South,2,141
midnight,Bay Ridge,2,140
midnight,Crown Heights South,2,136
afternoon,Flatbush/Ditmas Park,2,133
evening,Red Hook,2,131
afternoon,Rego Park,2,131
morning,Melrose South,2,131
evening,Melrose South,2,128
morning,East Concourse/Concourse Village,2,126
midnight,Kensington,2,123
afternoon,Flushing,2,119
evening,Windsor Terrace,2,119
evening,East Concourse/Concourse Village,2,119
afternoon,Cypress Hills,2,119
morning,Stuyvesant Heights,2,119
afternoon,Roosevelt Island,2,118
evening,Brooklyn Navy Yard,2,118
evening,Jamaica,2,118
afternoon,South Williamsburg,2,112
morning,Jamaica,2,109
afternoon,Sunset Park West,2,109
morning,South Jamaica,2,108
midnight,East Concourse/Concourse Village,2,108
evening,Briarwood/Jamaica Hills,2,107
evening,Prospect Park,2,107
evening,Springfield Gardens South,2,107
evening,Randalls Island,2,107
evening,South Jamaica,2,107
afternoon,Maspeth,2,106
afternoon,Red Hook,2,105
afternoon,Melrose South,2,103
evening,South Ozone Park,2,102
afternoon,Richmond Hill,2,102
morning,Bushwick North,2,101
afternoon,Corona,2,97
afternoon,Kensington,2,95
afternoon,Stuyvesant Heights,2,95
morning,Kew Gardens,2,93
morning,South Ozone Park,2,91
afternoon,Brooklyn Navy Yard,2,91
evening,Maspeth,2,90
midnight,Erasmus,2,88
afternoon,Prospect Park,2,88
midnight,Maspeth,2,88
evening,Kew Gardens,2,87
evening,Bay Ridge,2,87
morning,Red Hook,2,86
midnight,Windsor Terrace,2,86
afternoon,Ocean Parkway South,2,86
evening,East New York,2,85
midnight,Flushing,2,83
midnight,Briarwood/Jamaica Hills,2,83
midnight,Battery Park,2,82
morning,Roosevelt Island,2,82
midnight,Prospect Park,2,82
midnight,Roosevelt Island,2,81
evening,Corona,2,78
evening,Ridgewood,2,78
afternoon,Columbia Street,2,78
afternoon,East Concourse/Concourse Village,2,77
morning,Windsor Terrace,2,76
midnight,Baisley Park,2,76
morning,Randalls Island,2,75
morning,Flushing,2,74
morning,Highbridge,2,74
midnight,Corona,2,73
midnight,East New York,2,73
morning,North Corona,2,72
morning,Springfield Gardens South,2,72
evening,Spuyten Duyvil/Kingsbridge,2,72
midnight,Flushing Meadows-Corona Park,2,71
midnight,Morrisania/Melrose,2,71
midnight,Ocean Hill,2,71
morning,South Williamsburg,2,71
morning,Kew Gardens Hills,2,69
midnight,Spuyten Duyvil/Kingsbridge,2,69
evening,Van Nest/Morris Park,2,68
midnight,Mount Hope,2,68
evening,Flushing,2,66
morning,Maspeth,2,66
evening,Richmond Hill,2,66
evening,Erasmus,2,66
midnight,Highbridge,2,66
morning,Crown Heights South,2,66
midnight,Columbia Street,2,65
midnight,Kew Gardens,2,64
midnight,Richmond Hill,2,64
evening,Newark Airport,2,64
evening,North Corona,2,62
midnight,Jamaica,2,62
afternoon,Borough Park,2,61
midnight,University Heights/Morris Heights,2,61
midnight,South Ozone Park,2,60
afternoon,Spuyten Duyvil/Kingsbridge,2,60
morning,Ocean Hill,2,59
afternoon,Crown Heights South,2,59
morning,Morrisania/Melrose,2,58
morning,Prospect Park,2,58
midnight,Saint Michaels Cemetery/Woodside,2,56
evening,Morrisania/Melrose,2,56
evening,Brownsville,2,55
afternoon,Highbridge,2,55
afternoon,Ocean Hill,2,54
evening,Ocean Hill,2,52
evening,Borough Park,2,51
morning,Corona,2,51
midnight,Red Hook,2,50
morning,University Heights/Morris Heights,2,50
morning,Richmond Hill,2,50
afternoon,Bushwick North,2,49
evening,Gravesend,2,48
evening,University Heights/Morris Heights,2,47
midnight,Flatlands,2,47
midnight,Newark Airport,2,47
afternoon,Bay Ridge,2,47
midnight,Kingsbridge Heights,2,46
morning,East New York,2,46
midnight,Middle Village,2,46
morning,Astoria Park,2,45
morning,Borough Park,2,45
afternoon,Windsor Terrace,2,44
morning,Spuyten Duyvil/Kingsbridge,2,44
morning,Erasmus,2,44
evening,Homecrest,2,44
afternoon,East New York,2,43
midnight,Brownsville,2,43
midnight,East New York/Pennsylvania Avenue,2,43
morning,Homecrest,2,43
midnight,Cypress Hills,2,43
midnight,Hunts Point,2,42
midnight,Longwood,2,41
afternoon,Ridgewood,2,41
morning,Midwood,2,41
afternoon,Bensonhurst West,2,41
morning,Brooklyn Navy Yard,2,41
midnight,Borough Park,2,41
afternoon,Kew Gardens Hills,2,40
midnight,Bensonhurst West,2,40
evening,East Tremont,2,39
midnight,Soundview/Bruckner,2,39
evening,Marble Hill,2,38
evening,Highbridge,2,38
midnight,Woodhaven,2,38
midnight,East Flatbush/Remsen Village,2,38
midnight,Kew Gardens Hills,2,38
midnight,Canarsie,2,38
afternoon,Canarsie,2,37
midnight,Sunset Park East,2,37
morning,Ridgewood,2,37
midnight,South Jamaica,2,37
afternoon,Middle Village,2,37
evening,Canarsie,2,37
afternoon,Gravesend,2,36
morning,Flatlands,2,36
midnight,East Flatbush/Farragut,2,36
evening,Mount Hope,2,36
afternoon,Morrisania/Melrose,2,35
morning,Bedford Park,2,35
morning,Soundview/Bruckner,2,35
midnight,Soundview/Castle Hill,2,35
evening,East Flatbush/Remsen Village,2,35
afternoon,University Heights/Morris Heights,2,34
midnight,Van Cortlandt Village,2,34
midnight,Brooklyn Navy Yard,2,33
morning,Bay Ridge,2,33
morning,Brownsville,2,33
evening,Flatlands,2,33
evening,Claremont/Bathgate,2,32
midnight,Norwood,2,32
afternoon,Claremont/Bathgate,2,32
midnight,Highbridge Park,2,32
midnight,Midwood,2,32
morning,Woodhaven,2,32
evening,Middle Village,2,32
midnight,Glendale,2,31
morning,Middle Village,2,31
midnight,West Farms/Bronx River,2,31
afternoon,Midwood,2,30
midnight,Homecrest,2,30
afternoon,Van Nest/Morris Park,2,30
midnight,Westchester Village/Unionport,2,30
morning,Van Nest/Morris Park,2,29
evening,East New York/Pennsylvania Avenue,2,29
midnight,Randalls Island,2,29
evening,Bensonhurst West,2,29
afternoon,Astoria Park,2,29
morning,Mount Hope,2,28
evening,East Flatbush/Farragut,2,28
midnight,Claremont/Bathgate,2,28
afternoon,North Corona,2,28
morning,Marble Hill,2,28
morning,Queensboro Hill,2,27
morning,Parkchester,2,27
afternoon,Parkchester,2,27
midnight,Van Nest/Morris Park,2,26
midnight,Crotona Park East,2,26
evening,Ocean Parkway South,2,26
evening,Soundview/Bruckner,2,26
morning,East Flatbush/Farragut,2,26
morning,College Point,2,26
midnight,Springfield Gardens South,2,25
midnight,Ocean Parkway South,2,25
evening,Van Cortlandt Village,2,25
morning,Claremont/Bathgate,2,25
midnight,Bedford Park,2,25
evening,Midwood,2,25
evening,Bedford Park,2,25
morning,Sunset Park East,2,25
evening,Whitestone,2,25
evening,Longwood,2,24
morning,East Flatbush/Remsen Village,2,24
midnight,Parkchester,2,24
afternoon,Brownsville,2,23
midnight,East Tremont,2,23
evening,Parkchester,2,23
evening,Kingsbridge Heights,2,23
morning,Brighton Beach,2,23
afternoon,Bellerose,2,23
morning,Kingsbridge Heights,2,23
afternoon,Flatlands,2,23
evening,Sunset Park East,2,23
afternoon,Ozone Park,2,23
evening,Pelham Parkway,2,22
afternoon,Marble Hill,2,22
midnight,Marble Hill,2,22
evening,Kew Gardens Hills,2,22
midnight,Bayside,2,22
morning,Canarsie,2,22
afternoon,Marine Park/Floyd Bennett Field,2,22
morning,Van Cortlandt Village,2,21
afternoon,Soundview/Bruckner,2,21
afternoon,Erasmus,2,21
afternoon,Howard Beach,2,21
morning,Westchester Village/Unionport,2,21
afternoon,Mount Hope,2,20
afternoon,East New York/Pennsylvania Avenue,2,20
afternoon,Glendale,2,20
afternoon,Queens Village,2,20
afternoon,Eastchester,2,20
afternoon,Homecrest,2,20
afternoon,Van Cortlandt Village,2,20
midnight,Woodlawn/Wakefield,2,20
midnight,Dyker Heights,2,20
evening,Cypress Hills,2,20
evening,Crotona Park East,2,20
midnight,Schuylerville/Edgewater Park,2,20
afternoon,Soundview/Castle Hill,2,20
