PUHour,PUZone,month,count
midnight,UN/Turtle Bay South,1,8708
evening,Central Harlem,1,8268
midnight,LaGuardia Airport,1,8239
midnight,Lenox Hill East,1,8071
afternoon,Stuy Town/Peter Cooper Village,1,7857
evening,Alphabet City,1,7767
midnight,Alphabet City,1,7663
afternoon,Chinatown,1,7637
evening,East Harlem North,1,7531
evening,Bloomingdale,1,7158
morning,Alphabet City,1,7018
evening,Chinatown,1,6980
morning,Financial District South,1,6808
morning,Sunnyside,1,6641
midnight,Financial District North,1,6375
evening,Seaport,1,6293
evening,Stuy Town/Peter Cooper Village,1,6234
midnight,East Harlem South,1,6229
evening,Two Bridges/Seward Park,1,5972
midnight,Two Bridges/Seward Park,1,5794
midnight,Astoria,1,5671
midnight,Williamsburg (North Side),1,5576
afternoon,Seaport,1,5545
midnight,Williamsburg (South Side),1,5388
morning,Central Harlem North,1,5248
morning,Astoria,1,5169
afternoon,Alphabet City,1,5154
midnight,Yorkville East,1,5136
evening,Park Slope,1,5135
midnight,East Harlem North,1,5053
midnight,Manhattan Valley,1,5022
midnight,Central Harlem,1,4576
midnight,Lincoln Square West,1,4491
evening,Williamsburg (North Side),1,4264
midnight,Central Park,1,4223
morning,Brooklyn Heights,1,4212
morning,Chinatown,1,4142
afternoon,Two Bridges/Seward Park,1,4133
midnight,Morningside Heights,1,4013
evening,Downtown Brooklyn/MetroTech,1,3962
midnight,Sunnyside,1,3924
afternoon,Sunnyside,1,3915
morning,Seaport,1,3735
evening,Williamsburg (South Side),1,3730
afternoon,Central Harlem North,1,3692
evening,Fort Greene,1,3602
midnight,Financial District South,1,3590
morning,Downtown Brooklyn/MetroTech,1,3578
morning,Hamilton Heights,1,3535
evening,Astoria,1,3515
morning,Washington Heights South,1,3440
midnight,World Trade Center,1,3326
midnight,East Williamsburg,1,3272
midnight,Chinatown,1,3258
morning,Two Bridges/Seward Park,1,3256
evening,Central Harlem North,1,3241
evening,Boerum Hill,1,3200
midnight,Park Slope,1,3164
afternoon,Astoria,1,3107
midnight,Battery Park City,1,3101
morning,Cobble Hill,1,3056
midnight,Stuy Town/Peter Cooper Village,1,3018
morning,Long Island City/Queens Plaza,1,2965
afternoon,Downtown Brooklyn/MetroTech,1,2935
evening,Sunnyside,1,2882
morning,Carroll Gardens,1,2880
midnight,Bloomingdale,1,2870
evening,Long Island City/Hunters Point,1,2862
evening,Hamilton Heights,1,2725
midnight,Central Harlem North,1,2703
evening,Brooklyn Heights,1,2682
morning,Woodside,1,2610
midnight,Hamilton Heights,1,2574
afternoon,Long Island City/Queens Plaza,1,2572
afternoon,Manhattanville,1,2571
morning,Manhattanville,1,2540
morning,Steinway,1,2469
evening,Long Island City/Queens Plaza,1,2411
midnight,Long Island City/Queens Plaza,1,2401
morning,Boerum Hill,1,2378
afternoon,Long Island City/Hunters Point,1,2369
evening,Manhattanville,1,2369
morning,Old Astoria,1,2307
evening,Washington Heights South,1,2284
midnight,Long Island City/Hunters Point,1,2250
midnight,Greenpoint,1,2228
afternoon,Hamilton Heights,1,2222
afternoon,Brooklyn Heights,1,2208
midnight,Jackson Heights,1,2107
midnight,Boerum Hill,1,2096
afternoon,Washington Heights South,1,2060
midnight,Seaport,1,2047
